ISO3,Year,actual_funding,pred_funding,funding_ratio_gap,neighbor_avg_ratio_gap,neighbor_avg_funding,relative_to_peers
AFG,2018,62584769.94,,,0.6639949884912862,146148990.33,
AFG,2019,63781104.43,,,0.7600928023107971,143978195.72599998,
AFG,2020,74274515.41,62139053.980641365,0.19529523949848482,0.5356614267618331,142336753.062,-0.34036618726334833
AFG,2021,165403048.41,72952841.08310398,1.2672598620467936,0.3212685022521714,124111046.46200001,0.9459913597946222
AFG,2022,282670724.47,102230382.56370682,1.7650363559370263,0.2072405710393454,98725983.544,1.557795784897681
AFG,2023,134957920.4,166044884.98589474,-0.18722024823911632,0.6121645243093534,130200072.06400001,-0.7993847725484697
AFG,2024,55213329.07,99730118.11410388,-0.44637256914878054,0.6639949884912862,146148990.32999998,-1.1103675576400667
AFG,2025,73438742.96000001,57391785.48314038,0.2796037332132426,0.5187997280188815,142503907.552,-0.2391959948056389
BFA,2022,29449688.4,23965970.746630568,0.22881266573107206,-0.4636449077234753,11360970.052,0.6924575734545473
BFA,2023,20032043.22,24039404.20741435,-0.16669967994374768,-0.32661192494331204,15047635.379999999,0.15991224499956436
BFA,2024,13999919.98,31044276.942235153,-0.5490337879007459,-0.23828173684547957,18594189.543999996,-0.31075205105526627
BFA,2025,8997558.19,18778770.417261295,-0.5208654246217571,-0.21275530871482004,20350523.036,-0.30811011590693704
CAF,2018,28392819.98,,,-0.3249804625590846,24986391.26,
CAF,2019,38998422.01000001,,,-0.3249804625590846,22865270.854,
CAF,2020,30839970.34,33272884.439175148,-0.07312002371248161,-0.4089339421746189,24496961.188,0.3358139184621373
CAF,2021,23298106.64,32505342.66744919,-0.2832530061794828,-0.18485338433556042,29244955.254,-0.09839962184392237
CAF,2022,29493646.31,33286404.80282981,-0.11394317035125923,-0.3672449090405405,25725863.796000004,0.2533017386892813
CAF,2023,15797063.92,29835577.78267944,-0.47052931117792096,-0.3953262266283597,24766225.994,-0.07520308454956126
CAF,2024,18499917.63,29248741.00064774,-0.36749695894294043,-0.3672449090405405,25725863.796000004,-0.000252049902399909
CAF,2025,7100000.01,27882686.66871949,-0.7453616972296571,-0.18485338433556042,29244955.254,-0.5605083128940966
COD,2018,68521023.72,,,-0.21353058016751758,58803063.554,
COD,2019,78446955.82,,,-0.261904312984653,55377190.432,
COD,2020,75000641.67,76332691.48646992,-0.017450581009658572,-0.19104169376991365,50414043.932,0.17359111276025507
COD,2021,65132904.83,73918592.6875542,-0.118856265225318,-0.24508868514825077,59480687.331999995,0.12623241992293277
COD,2022,38434815.36,70188310.50077371,-0.4524043236576222,-0.13390599900414937,64820305.225999996,-0.31849832465347283
COD,2023,42981475.66,40075782.471367374,0.07250496458075717,-0.21353058016751758,56817877.13399999,0.28603554474827475
COD,2024,37000000.09,50368311.646930024,-0.26541115077747157,-0.1290515513279604,58014172.248,-0.13635959944951118
COD,2025,29796566.58,55067273.15041419,-0.45890608204601313,-0.27889057988680394,57507139.964,-0.1800155021592092
COL,2024,3006015.08,23034884.15079952,-0.8695016193560642,0.09282512261523937,83598595.13000001,-0.9623267419713035
ETH,2018,84667535.84,,,0.029770482034943146,65026958.330000006,
ETH,2019,61032490.42,,,0.06604828859998893,72910316.63400002,
ETH,2020,57478521.56,57704063.17366722,-0.003908591549063423,0.04099683989627867,70464761.186,-0.04490543144534209
ETH,2021,98519150.26,69007549.64457396,0.42765756453354276,-0.05822711194364546,66198158.169999994,0.4858846764771882
ETH,2022,63908474.3,77433963.92873651,-0.17467128043689195,0.08936724864967305,73621110.40599999,-0.264038529086565
ETH,2023,59982606.78,71702730.29312643,-0.16345435473954262,0.08562827341722327,74406283.91000001,-0.2490826281567659
